date,club_id,product_id,on_hand_units,region,business_unit
2024-01-01,TX100,SNK-001,12,TX,snacks
2024-01-01,TX100,SNK-002,71,TX,snacks
2024-01-01,TX100,BEV-001,456,TX,beverage
2024-01-01,TX200,SNK-001,216,TX,snacks
2024-01-01,TX200,SNK-002,111,TX,snacks
2024-01-01,TX200,BEV-001,13,TX,beverage
2024-01-01,CA100,SNK-001,332,CA,snacks
2024-01-01,CA100,SNK-002,229,CA,snacks
2024-01-01,CA100,BEV-001,388,CA,beverage
2024-01-02,TX100,SNK-001,174,TX,snacks
2024-01-02,TX100,SNK-002,490,TX,snacks
2024-01-02,TX100,BEV-001,194,TX,beverage
2024-01-02,TX200,SNK-001,309,TX,snacks
2024-01-02,TX200,SNK-002,373,TX,snacks
2024-01-02,TX200,BEV-001,498,TX,beverage
2024-01-02,CA100,SNK-001,150,CA,snacks
2024-01-02,CA100,SNK-002,295,CA,snacks
2024-01-02,CA100,BEV-001,23,CA,beverage
2024-01-03,TX100,SNK-001,40,TX,snacks
2024-01-03,TX100,SNK-002,194,TX,snacks
2024-01-03,TX100,BEV-001,427,TX,beverage
2024-01-03,TX200,SNK-001,181,TX,snacks
2024-01-03,TX200,SNK-002,359,TX,snacks
2024-01-03,TX200,BEV-001,87,TX,beverage
2024-01-03,CA100,SNK-001,83,CA,snacks
2024-01-03,CA100,SNK-002,473,CA,snacks
2024-01-03,CA100,BEV-001,166,CA,beverage
2024-01-04,TX100,SNK-001,412,TX,snacks
2024-01-04,TX100,SNK-002,33,TX,snacks
2024-01-04,TX100,BEV-001,161,TX,beverage
2024-01-04,TX200,SNK-001,202,TX,snacks
2024-01-04,TX200,SNK-002,71,TX,snacks
2024-01-04,TX200,BEV-001,275,TX,beverage
2024-01-04,CA100,SNK-001,219,CA,snacks
2024-01-04,CA100,SNK-002,112,CA,snacks
2024-01-04,CA100,BEV-001,46,CA,beverage
2024-01-05,TX100,SNK-001,78,TX,snacks
2024-01-05,TX100,SNK-002,216,TX,snacks
2024-01-05,TX100,BEV-001,195,TX,beverage
2024-01-05,TX200,SNK-001,128,TX,snacks
2024-01-05,TX200,SNK-002,348,TX,snacks
2024-01-05,TX200,BEV-001,384,TX,beverage
2024-01-05,CA100,SNK-001,174,CA,snacks
2024-01-05,CA100,SNK-002,80,CA,snacks
2024-01-05,CA100,BEV-001,448,CA,beverage
2024-01-06,TX100,SNK-001,259,TX,snacks
2024-01-06,TX100,SNK-002,152,TX,snacks
2024-01-06,TX100,BEV-001,78,TX,beverage
2024-01-06,TX200,SNK-001,276,TX,snacks
2024-01-06,TX200,SNK-002,165,TX,snacks
2024-01-06,TX200,BEV-001,475,TX,beverage
2024-01-06,CA100,SNK-001,122,CA,snacks
2024-01-06,CA100,SNK-002,484,CA,snacks
2024-01-06,CA100,BEV-001,248,CA,beverage
2024-01-07,TX100,SNK-001,392,TX,snacks
2024-01-07,TX100,SNK-002,243,TX,snacks
2024-01-07,TX100,BEV-001,270,TX,beverage
2024-01-07,TX200,SNK-001,475,TX,snacks
2024-01-07,TX200,SNK-002,353,TX,snacks
2024-01-07,TX200,BEV-001,204,TX,beverage
