date,club_id,product_id,return_units,region,business_unit
2024-01-01,TX100,SNK-001,2,TX,snacks
2024-01-01,TX100,SNK-002,0,TX,snacks
2024-01-01,TX100,BEV-001,4,TX,beverage
2024-01-01,TX200,SNK-001,0,TX,snacks
2024-01-01,TX200,SNK-002,1,TX,snacks
2024-01-01,TX200,BEV-001,4,TX,beverage
2024-01-01,CA100,SNK-001,4,CA,snacks
2024-01-01,CA100,SNK-002,4,CA,snacks
2024-01-01,CA100,BEV-001,1,CA,beverage
2024-01-02,TX100,SNK-001,2,TX,snacks
2024-01-02,TX100,SNK-002,2,TX,snacks
2024-01-02,TX100,BEV-001,0,TX,beverage
2024-01-02,TX200,SNK-001,2,TX,snacks
2024-01-02,TX200,SNK-002,3,TX,snacks
2024-01-02,TX200,BEV-001,3,TX,beverage
2024-01-02,CA100,SNK-001,4,CA,snacks
2024-01-02,CA100,SNK-002,1,CA,snacks
2024-01-02,CA100,BEV-001,1,CA,beverage
2024-01-03,TX100,SNK-001,1,TX,snacks
2024-01-03,TX100,SNK-002,2,TX,snacks
2024-01-03,TX100,BEV-001,2,TX,beverage
2024-01-03,TX200,SNK-001,1,TX,snacks
2024-01-03,TX200,SNK-002,0,TX,snacks
2024-01-03,TX200,BEV-001,4,TX,beverage
2024-01-03,CA100,SNK-001,3,CA,snacks
2024-01-03,CA100,SNK-002,4,CA,snacks
2024-01-03,CA100,BEV-001,0,CA,beverage
2024-01-04,TX100,SNK-001,2,TX,snacks
2024-01-04,TX100,SNK-002,1,TX,snacks
2024-01-04,TX100,BEV-001,1,TX,beverage
2024-01-04,TX200,SNK-001,3,TX,snacks
2024-01-04,TX200,SNK-002,1,TX,snacks
2024-01-04,TX200,BEV-001,2,TX,beverage
2024-01-04,CA100,SNK-001,4,CA,snacks
2024-01-04,CA100,SNK-002,1,CA,snacks
2024-01-04,CA100,BEV-001,0,CA,beverage
2024-01-05,TX100,SNK-001,1,TX,snacks
2024-01-05,TX100,SNK-002,4,TX,snacks
2024-01-05,TX100,BEV-001,4,TX,beverage
2024-01-05,TX200,SNK-001,4,TX,snacks
2024-01-05,TX200,SNK-002,0,TX,snacks
2024-01-05,TX200,BEV-001,2,TX,beverage
2024-01-05,CA100,SNK-001,0,CA,snacks
2024-01-05,CA100,SNK-002,3,CA,snacks
2024-01-05,CA100,BEV-001,2,CA,beverage
2024-01-06,TX100,SNK-001,0,TX,snacks
2024-01-06,TX100,SNK-002,4,TX,snacks
2024-01-06,TX100,BEV-001,2,TX,beverage
2024-01-06,TX200,SNK-001,4,TX,snacks
2024-01-06,TX200,SNK-002,3,TX,snacks
2024-01-06,TX200,BEV-001,2,TX,beverage
2024-01-06,CA100,SNK-001,0,CA,snacks
2024-01-06,CA100,SNK-002,0,CA,snacks
2024-01-06,CA100,BEV-001,0,CA,beverage
2024-01-07,TX100,SNK-001,1,TX,snacks
2024-01-07,TX100,SNK-002,4,TX,snacks
2024-01-07,TX100,BEV-001,4,TX,beverage
2024-01-07,TX200,SNK-001,4,TX,snacks
2024-01-07,TX200,SNK-002,1,TX,snacks
2024-01-07,TX200,BEV-001,2,TX,beverage
2024-01-07,CA100,SNK-001,0,CA,snacks
2024-01-07,CA100,SNK-002,2,CA,snacks
2024-01-07,CA100,BEV-001,1,CA,beverage
2024-01-08,TX100,SNK-001,0,TX,snacks
2024-01-08,TX100,SNK-002,1,TX,snacks
2024-01-08,TX100,BEV-001,2,TX,beverage
2024-01-08,TX200,SNK-001,2,TX,snacks
2024-01-08,TX200,SNK-002,4,TX,snacks
2024-01-08,TX200,BEV-001,4,TX,beverage
2024-01-08,CA100,SNK-001,3,CA,snacks
2024-01-08,CA100,SNK-002,0,CA,snacks
2024-01-08,CA100,BEV-001,2,CA,beverage
2024-01-09,TX100,SNK-001,0,TX,snacks
2024-01-09,TX100,SNK-002,0,TX,snacks
2024-01-09,TX100,BEV-001,2,TX,beverage
2024-01-09,TX200,SNK-001,1,TX,snacks
2024-01-09,TX200,SNK-002,1,TX,snacks
2024-01-09,TX200,BEV-001,3,TX,beverage
2024-01-09,CA100,SNK-001,4,CA,snacks
2024-01-09,CA100,SNK-002,4,CA,snacks
2024-01-09,CA100,BEV-001,0,CA,beverage
2024-01-10,TX100,SNK-001,3,TX,snacks
2024-01-10,TX100,SNK-002,3,TX,snacks
2024-01-10,TX100,BEV-001,3,TX,beverage
2024-01-10,TX200,SNK-001,3,TX,snacks
2024-01-10,TX200,SNK-002,4,TX,snacks
2024-01-10,TX200,BEV-001,1,TX,beverage
2024-01-10,CA100,SNK-001,0,CA,snacks
2024-01-10,CA100,SNK-002,0,CA,snacks
2024-01-10,CA100,BEV-001,0,CA,beverage
2024-01-11,TX100,SNK-001,4,TX,snacks
2024-01-11,TX100,SNK-002,4,TX,snacks
2024-01-11,TX100,BEV-001,4,TX,beverage
2024-01-11,TX200,SNK-001,1,TX,snacks
2024-01-11,TX200,SNK-002,4,TX,snacks
2024-01-11,TX200,BEV-001,0,TX,beverage
2024-01-11,CA100,SNK-001,4,CA,snacks
2024-01-11,CA100,SNK-002,2,CA,snacks
2024-01-11,CA100,BEV-001,2,CA,beverage
2024-01-12,TX100,SNK-001,1,TX,snacks
2024-01-12,TX100,SNK-002,3,TX,snacks
2024-01-12,TX100,BEV-001,3,TX,beverage
2024-01-12,TX200,SNK-001,0,TX,snacks
2024-01-12,TX200,SNK-002,2,TX,snacks
2024-01-12,TX200,BEV-001,0,TX,beverage
2024-01-12,CA100,SNK-001,2,CA,snacks
2024-01-12,CA100,SNK-002,4,CA,snacks
2024-01-12,CA100,BEV-001,4,CA,beverage
2024-01-13,TX100,SNK-001,4,TX,snacks
2024-01-13,TX100,SNK-002,1,TX,snacks
2024-01-13,TX100,BEV-001,0,TX,beverage
2024-01-13,TX200,SNK-001,2,TX,snacks
2024-01-13,TX200,SNK-002,2,TX,snacks
2024-01-13,TX200,BEV-001,2,TX,beverage
2024-01-13,CA100,SNK-001,0,CA,snacks
2024-01-13,CA100,SNK-002,2,CA,snacks
2024-01-13,CA100,BEV-001,1,CA,beverage
2024-01-14,TX100,SNK-001,3,TX,snacks
2024-01-14,TX100,SNK-002,4,TX,snacks
2024-01-14,TX100,BEV-001,1,TX,beverage
2024-01-14,TX200,SNK-001,2,TX,snacks
2024-01-14,TX200,SNK-002,3,TX,snacks
2024-01-14,TX200,BEV-001,2,TX,beverage
2024-01-14,CA100,SNK-001,2,CA,snacks
2024-01-14,CA100,SNK-002,0,CA,snacks
2024-01-14,CA100,BEV-001,3,CA,beverage
2024-01-15,TX100,SNK-001,1,TX,snacks
2024-01-15,TX100,SNK-002,1,TX,snacks
2024-01-15,TX100,BEV-001,1,TX,beverage
2024-01-15,TX200,SNK-001,3,TX,snacks
2024-01-15,TX200,SNK-002,1,TX,snacks
2024-01-15,TX200,BEV-001,0,TX,beverage
2024-01-15,CA100,SNK-001,3,CA,snacks
2024-01-15,CA100,SNK-002,3,CA,snacks
2024-01-15,CA100,BEV-001,1,CA,beverage
2024-01-16,TX100,SNK-001,1,TX,snacks
2024-01-16,TX100,SNK-002,0,TX,snacks
2024-01-16,TX100,BEV-001,4,TX,beverage
2024-01-16,TX200,SNK-001,4,TX,snacks
2024-01-16,TX200,SNK-002,2,TX,snacks
2024-01-16,TX200,BEV-001,2,TX,beverage
2024-01-16,CA100,SNK-001,3,CA,snacks
2024-01-16,CA100,SNK-002,2,CA,snacks
2024-01-16,CA100,BEV-001,0,CA,beverage
2024-01-17,TX100,SNK-001,2,TX,snacks
2024-01-17,TX100,SNK-002,0,TX,snacks
2024-01-17,TX100,BEV-001,1,TX,beverage
2024-01-17,TX200,SNK-001,2,TX,snacks
2024-01-17,TX200,SNK-002,0,TX,snacks
2024-01-17,TX200,BEV-001,2,TX,beverage
2024-01-17,CA100,SNK-001,3,CA,snacks
2024-01-17,CA100,SNK-002,1,CA,snacks
2024-01-17,CA100,BEV-001,3,CA,beverage
2024-01-18,TX100,SNK-001,1,TX,snacks
2024-01-18,TX100,SNK-002,3,TX,snacks
2024-01-18,TX100,BEV-001,2,TX,beverage
