date,club_id,product_id,units,unit_price,net_sales,region,business_unit
2024-01-01,TX100,SNK-001,86,2.99,257.14000000000004,TX,snacks
2024-01-01,TX100,SNK-002,36,2.99,107.64000000000001,TX,snacks
2024-01-01,TX100,BEV-001,91,8.99,818.09,TX,beverage
2024-01-01,TX200,SNK-001,16,8.99,143.84,TX,snacks
2024-01-01,TX200,SNK-002,8,2.99,23.92,TX,snacks
2024-01-01,TX200,BEV-001,69,8.99,620.3100000000001,TX,beverage
2024-01-01,CA100,SNK-001,30,8.99,269.7,CA,snacks
2024-01-01,CA100,SNK-002,58,2.99,173.42000000000002,CA,snacks
2024-01-01,CA100,BEV-001,40,2.99,119.60000000000001,CA,beverage
2024-01-02,TX100,SNK-001,94,4.99,469.06,TX,snacks
2024-01-02,TX100,SNK-002,24,2.99,71.76,TX,snacks
2024-01-02,TX100,BEV-001,18,2.99,53.82000000000001,TX,beverage
2024-01-02,TX200,SNK-001,50,4.99,249.5,TX,snacks
2024-01-02,TX200,SNK-002,108,2.99,322.92,TX,snacks
2024-01-02,TX200,BEV-001,73,2.99,218.27,TX,beverage
2024-01-02,CA100,SNK-001,15,8.99,134.85,CA,snacks
2024-01-02,CA100,SNK-002,118,4.99,588.82,CA,snacks
2024-01-02,CA100,BEV-001,95,2.99,284.05,CA,beverage
2024-01-03,TX100,SNK-001,103,4.99,513.97,TX,snacks
2024-01-03,TX100,SNK-002,115,2.99,343.85,TX,snacks
2024-01-03,TX100,BEV-001,63,8.99,566.37,TX,beverage
2024-01-03,TX200,SNK-001,25,4.99,124.75,TX,snacks
2024-01-03,TX200,SNK-002,90,4.99,449.1,TX,snacks
2024-01-03,TX200,BEV-001,82,8.99,737.1800000000001,TX,beverage
2024-01-03,CA100,SNK-001,98,2.99,293.02000000000004,CA,snacks
2024-01-03,CA100,SNK-002,53,4.99,264.47,CA,snacks
2024-01-03,CA100,BEV-001,33,8.99,296.67,CA,beverage
2024-01-04,TX100,SNK-001,34,2.99,101.66000000000001,TX,snacks
2024-01-04,TX100,SNK-002,56,4.99,279.44,TX,snacks
2024-01-04,TX100,BEV-001,77,8.99,692.23,TX,beverage
